"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WESD","WSF1","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-01-01","  100","  100",,," 0600","0.04",,"0.0","0.0",,"45","40",,"   10",,,"  360",,"17.0",,,"25.3","    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-01-02","   70","  100",,," 0006","0.42",,"0.0","0.0",,"47","40",,"  110",,,"   90",,"16.1",,,"19.5","    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-01-03","   20","   30",,," 0906","0.00",,"0.0","0.0",,"50","37",,"  330",,,"  315",,"19.9",,,"26.4",,,,,,,,,,,,,,,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-01-04","    0","    0",,," 1230","0.00",,"0.0","0.0",,"56","29",,"  210",,,"  180",,"12.1",,,"17.2",,,,,,,,,,,,,,,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-01-05","   10","   10",,," 1012","0.00",,"0.0","0.0",,"60","37",,"  200",,,"  180",,"25.9",,,"35.6",,,,,,,,,,,,,,,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-01-06","    0","    0",,," 1300","0.00",,"0.0","0.0",,"62","34",,"  170",,,"  180",,"25.1",,,"31.1",,,,,,,,,,,,,,,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-01-07","   30","   50",,," 1200","0.00",,"0.0","0.0",,"74","45",,"  180",,,"  225",,"17.9",,,"25.3","    1",,,,,,,,,,,,,,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-01-08","   10","    0",,," 1412","0.00",,"0.0","0.0",,"62","46",,"  290",,,"  315",,"17.9",,,"19.5",,,,,,,,,,,,,,,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-01-09","   60","   80",,," 2154","0.20",,"0.0","0.0",,"71","45",,"  290",,,"  315",,"28.0",,,"41.4",,,"    1",,,,,,,,,,,,"    1",,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-01-10","   40","   10",,," 0624","0.02",,"0.0","0.0",,"57","40",,"  290",,,"  270",,"23.9",,,"39.1",,,"    1",,,,,,,,,,,,"    1",,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-01-11","   70","   90",,," 1012","0.00",,"0.0","0.0",,"42","31",,"   10",,,"   45",,"10.1",,,"15.0",,,,,,,,,,,,,,,,,"    1",,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-01-12","   60","   70",,," 0742","0.00",,"0.0","0.0",,"37","24",,"   10",,,"  360",,"31.1",,,"46.1",,,,,,,,,,,,,,,,,"    1",,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-01-13","   50","   70",,," 1242","0.00",,"0.0","0.0",,"47","17",,"  210",,,"  225",,"16.1",,,"20.8",,,,,,,,,,,,,,,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-01-14","   50","   90",,," 1606","0.00",,"0.0","0.0",,"59","29",,"  190",,,"  180",,"17.9",,,"23.0",,,,,,,,,,,,,,,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-01-15","    0","    0",,," 1400","0.00",,"0.0","0.0",,"63","31",,"  190",,,"  180",,"17.0",,,"23.0",,,,,,,,,,,,,,,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-01-16","   40","   40",,," 0918","0.00",,"0.0","0.0",,"54","36",,"   30",,,"  360",,"17.9",,,"25.3","    1",,,,,,,,,,,,,,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-01-17","  100","  100",,," 2312","0.03",,"0.0","0.0",,"49","44",,"  360",,,"  360",,"8.1",,,"11.4","    1","    1",,,,,,"    1",,,,,,,"    1",,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1975-01-18","   70","   60",,," 2342","0.01",,"0.0","0.0",,"61","45",,"  170",,,"  180",,"15.0",,,"18.3","    1","    1",,,,,,"    1",,,,,,,"    1",,,,,,
